ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Total_Children,Age,Total_Spending,Total_Purchases,Education_enc,Marital_Status_enc,Country_enc,Age_Group,Has_Children,Online_Purchases,Store_Purchases
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,1,39,165.0,8,0.0,1.0,0.0,Younger,1,4,4
5740,1970,2N Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,2,55,56.0,5,2.0,0.0,0.0,Younger,1,3,2
9595,1961,Graduation,Together,64260.0,0,0,2013-01-11,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,0,64,1574.0,13,0.0,3.0,0.0,Older,0,9,4
3158,1973,Graduation,Married,32300.0,1,0,2013-01-03,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,1,52,39.0,4,0.0,2.0,0.0,Younger,1,1,3
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,1,60,965.0,14,3.0,2.0,3.0,Older,1,9,5
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,1,55,497.0,17,0.0,0.0,4.0,Younger,1,9,8
8805,1960,Graduation,Single,48904.0,0,1,2012-12-02,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,1,65,371.0,13,0.0,1.0,2.0,Older,1,9,4
1241,1984,2N Cycle,Married,14796.0,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,1,41,51.0,4,2.0,2.0,4.0,Younger,1,1,3
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,0,71,1253.0,18,3.0,2.0,4.0,Older,0,12,6
7264,1978,2N Cycle,Single,52195.0,2,1,2014-05-12,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,3,47,17.0,3,2.0,1.0,6.0,Younger,1,1,2
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,0,69,1588.0,16,0.0,2.0,0.0,Older,0,10,6
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,1,51,50.0,6,4.0,2.0,0.0,Younger,1,3,3
1857,1952,Graduation,Single,47139.0,1,1,2014-03-06,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,2,73,83.0,5,0.0,1.0,0.0,Older,1,3,2
4877,1973,Master,Married,38576.0,0,1,2014-03-04,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,1,52,41.0,4,3.0,2.0,5.0,Younger,1,1,3
3066,1975,Phd,Together,61905.0,0,1,2014-02-04,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,1,50,231.0,10,1.0,3.0,6.0,Younger,1,6,4
10286,1962,Graduation,Married,83715.0,0,0,2014-02-03,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,0,63,926.0,23,0.0,2.0,6.0,Older,0,10,13
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,1,61,893.0,12,0.0,2.0,0.0,Older,1,4,8
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,0,43,373.0,2,3.0,1.0,0.0,Younger,0,1,1
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,1,64,32.0,4,3.0,3.0,0.0,Older,1,1,3
4867,1968,Phd,Single,38236.0,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,2,57,88.0,7,1.0,1.0,0.0,Younger,1,3,4
3112,1977,Master,Married,22701.0,1,0,2013-09-05,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,1,48,24.0,4,3.0,2.0,0.0,Younger,1,1,3
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,2,51,400.0,14,3.0,0.0,3.0,Younger,1,6,8
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,1,39,36.0,4,0.0,3.0,0.0,Younger,1,2,2
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,2,69,789.0,21,3.0,2.0,3.0,Older,1,9,12
5332,1960,2N Cycle,Married,82504.0,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,0,65,1066.0,16,2.0,2.0,5.0,Older,0,9,7
1519,1972,Phd,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,2,53,73.0,6,1.0,1.0,0.0,Younger,1,3,3
9080,1972,Phd,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,2,53,73.0,6,1.0,1.0,0.0,Younger,1,3,3
1772,1975,Phd,Married,79174.0,0,0,2013-01-11,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,0,50,2043.0,18,1.0,2.0,1.0,Younger,0,11,7
5341,1962,2N Cycle,Divorced,81975.0,0,1,2013-01-05,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,1,63,1588.0,13,2.0,0.0,6.0,Older,1,9,4
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,1,48,441.0,13,3.0,2.0,0.0,Younger,1,7,6
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,1,55,106.0,5,0.0,1.0,5.0,Younger,1,2,3
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,1,54,1410.0,20,0.0,2.0,6.0,Younger,1,7,13
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,0,60,1040.0,22,0.0,3.0,0.0,Older,0,13,9
10352,1963,Graduation,Widow,34213.0,1,1,2012-09-07,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,2,62,117.0,6,0.0,4.0,6.0,Older,1,4,2
7919,1976,Phd,Together,72335.0,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,0,49,2092.0,22,1.0,3.0,0.0,Younger,0,14,8
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,0,61,1693.0,28,3.0,2.0,3.0,Older,0,15,13
7990,1947,Graduation,Married,27469.0,0,0,2012-08-02,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,0,78,17.0,3,0.0,2.0,1.0,Older,0,0,3
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,0,56,1091.0,15,0.0,3.0,0.0,Younger,0,8,7
4399,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,0,56,1091.0,15,0.0,3.0,1.0,Younger,0,8,7
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,1,68,372.0,13,0.0,1.0,4.0,Older,1,7,6
4785,1970,Phd,Together,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,2,55,714.0,20,1.0,3.0,6.0,Younger,1,9,11
8461,1962,Graduation,Divorced,46102.0,2,1,2014-03-10,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,3,63,16.0,3,0.0,0.0,0.0,Older,1,1,2
3878,1980,2N Cycle,Single,31859.0,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,1,45,48.0,4,2.0,1.0,0.0,Younger,1,1,3
9612,1987,2N Cycle,Single,23830.0,0,0,2014-02-07,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,0,38,43.0,4,2.0,1.0,0.0,Younger,0,1,3
4098,1973,Graduation,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,2,52,44.0,6,0.0,2.0,3.0,Younger,1,2,4
158,1945,Phd,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,0,80,1196.0,16,1.0,3.0,0.0,Older,0,11,5
3896,1984,Graduation,Married,27255.0,1,0,2013-11-07,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,1,41,37.0,4,0.0,2.0,0.0,Younger,1,1,3
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,1,48,162.0,8,0.0,3.0,1.0,Younger,1,2,6
4002,1960,Phd,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,1,65,1123.0,26,1.0,2.0,0.0,Older,1,14,12
10914,1970,Graduation,Single,24163.0,1,1,2013-10-12,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,2,55,17.0,4,0.0,1.0,0.0,Younger,1,1,3
7279,1969,Phd,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,0,56,1044.0,14,1.0,3.0,2.0,Younger,0,10,4
10582,1979,Graduation,Married,72063.0,0,1,2013-07-03,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,1,46,758.0,19,0.0,2.0,4.0,Younger,1,7,12
4470,1962,Master,Married,58646.0,0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,1,63,140.0,7,3.0,2.0,0.0,Older,1,3,4
6183,1962,Master,Married,58646.0,0,1,2013-06-10,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,1,63,140.0,7,3.0,2.0,4.0,Older,1,3,4
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,2,76,121.0,6,3.0,4.0,2.0,Older,1,4,2
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,1,45,1395.0,19,0.0,2.0,3.0,Younger,1,14,5
4827,1956,Phd,Single,54998.0,0,1,2013-03-10,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,1,69,455.0,15,1.0,1.0,0.0,Older,1,6,9
6715,1948,Phd,Single,60200.0,0,1,2013-01-02,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,1,77,685.0,19,1.0,1.0,0.0,Older,1,8,11
10676,1982,Graduation,Married,63211.0,0,0,2012-11-02,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,0,43,1173.0,18,0.0,2.0,0.0,Younger,0,11,7
1041,1973,Phd,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,1,52,424.0,14,1.0,1.0,6.0,Younger,1,8,6
492,1973,Phd,Yolo,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,1,52,424.0,14,1.0,5.0,1.0,Younger,1,8,6
11133,1973,Phd,Yolo,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,1,52,424.0,14,1.0,5.0,5.0,Younger,1,8,6
4491,1949,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,2,76,1178.0,17,3.0,2.0,0.0,Older,1,7,10
873,1949,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,2,76,1178.0,17,3.0,2.0,0.0,Older,1,7,10
1631,1965,Phd,Together,65220.0,0,0,2012-09-03,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,0,60,1282.0,19,1.0,3.0,4.0,Older,0,12,7
8278,1990,Phd,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,0,35,1711.0,15,1.0,2.0,0.0,Younger,0,10,5
6815,1980,2N Cycle,Married,96547.0,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,0,45,809.0,21,2.0,2.0,0.0,Younger,0,13,8
254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,1,70,473.0,15,0.0,3.0,0.0,Older,1,8,7
1349,1970,Graduation,Married,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,2,55,148.0,7,0.0,2.0,5.0,Younger,1,4,3
2534,1953,Graduation,Married,37716.0,0,1,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,1,72,188.0,8,0.0,2.0,3.0,Older,1,5,3
2130,1982,Graduation,Together,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,2,43,147.0,7,0.0,3.0,6.0,Younger,1,4,3
2296,1975,Master,Married,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,1,50,30.0,3,3.0,2.0,0.0,Younger,1,1,2
3799,1955,Graduation,Married,67225.0,0,1,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,1,70,868.0,20,0.0,2.0,2.0,Older,1,9,11
11084,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,1,49,1053.0,15,3.0,3.0,1.0,Younger,1,8,7
5172,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,1,49,1053.0,15,3.0,3.0,0.0,Younger,1,8,7
9504,1949,Master,Married,81698.0,0,0,2013-11-06,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,0,76,1008.0,24,3.0,2.0,0.0,Older,0,11,13
850,1968,Graduation,Single,70566.0,0,1,2013-10-06,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,1,57,757.0,20,0.0,1.0,0.0,Younger,1,11,9
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,1,67,653.0,17,0.0,3.0,4.0,Older,1,7,10
1945,1962,Graduation,Married,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,1,63,1400.0,18,0.0,2.0,0.0,Older,1,11,7
7685,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,1,47,78.0,6,0.0,2.0,0.0,Younger,1,2,4
6310,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,1,47,78.0,6,0.0,2.0,1.0,Younger,1,2,4
10832,1958,Graduation,Together,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,0,67,467.0,13,0.0,3.0,0.0,Older,0,7,6
3025,1958,Graduation,Single,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,1,67,306.0,12,0.0,1.0,1.0,Older,1,7,5
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,2,49,257.0,10,0.0,2.0,2.0,Younger,1,6,4
8581,1971,Master,Married,49505.0,1,1,2013-03-05,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,2,54,751.0,20,3.0,2.0,0.0,Younger,1,12,8
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,0,79,1196.0,17,3.0,2.0,3.0,Older,0,8,9
10177,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,1,71,1338.0,17,0.0,0.0,0.0,Older,1,9,8
2429,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,1,71,1338.0,17,0.0,0.0,1.0,Older,1,9,8
